name,area,employer,salary_from,salary_to,currency,description,specialization,profarea,schedule,experience
Торговый представитель по продаже автозапчастей,Ош,Дистрибуторская Компания по продаже автозапчастей.,40000,100000,KGS,"<p> </p> <p><strong>Обязанности:</strong></p> <p>- Оптовые продажи.<br />- Развитие клиентской базы.<br />- Ведение коммерческих переговоров.<br />- Заключение договоров.<br />- Документационное сопровождение продаж.<br />- Контроль дебиторской задолженности.<br />- Обучаться и развиваться</p> <p> </p> <strong>Требования:</strong> <p>- Опыт работы в сфере автозапчастей!!!<br />- Умение презентовать продукт.<br />- Уверенный пользователь ПК, Excel,1С.<br />- Коммуникабельность.<br />- Стрессоустойчивость.<br />- Умение работать в режиме многозадачности.<br />- Опыт работы торговым агентом.</p> <p> </p> <strong>Условия:</strong> <p>- Шестидневная рабочая неделя с 8-00 до 18-00.<br />- Суббота короткий день.<br />- Компенсация: интернет, сотовая связь.<br />- Перспектива роста и обучения, работа в команде профессионалов.</p>","FMCG, Товары народного потребления",Продажи,Полный день,От 1 года до 3 лет
Ресепшионист,Бишкек,Hotel Resident,22000,28000,KGS,"<strong>Обязанности:</strong> <ul> <li>Заселение гостей, их регистрация и информирование по отелю</li> <li>Выполнять просьбы гостей, проследить что бы их просьба была выполнена другими службами отеля</li> <li>Вести документацию, составление счетов на имена физ.лиц, а так же юридических лиц.</li> <li>Вести кассу, принимать оплаты при заселении.</li> </ul> <strong>Требования:</strong> <ul> <li>Опрятность и ухоженность</li> <li>Знание русского, кыргызского и знание английского (хотя бы разговорный)</li> <li>Четкая дикция, внятная речь</li> <li>Способность критически мыслить, импровизировать и принимать сложные решения.</li> <li>Навыки пользование ПК (Word, Excel)</li> </ul> <strong>Условия:</strong> <ul> <li>Своевременная выплата заработной платы с 5 по 10 числа ежемесячно</li> <li>Двух разовое питание (завтрак и обед)</li> <li>График работы 2 / 2</li> <li>Время работы с 09;00 до 21:00</li> </ul>",Администрация,"Спортивные клубы, фитнес, салоны красоты",Полный день,От 1 года до 3 лет
Директор (администратор) мебельного магазина,Бишкек,ОсОО Мебель Груп,40000,,KGS,"<p>Салон Дятьково Мебель ищет ответственного, целеустремленного сотрудника, который знает и понимает, что такое организация, планирование, достижение результатов во всем.</p> <p>Обязанности:</p> <p>Обеспечение выполнения плановых показателей салона<br />Организация и контроль работы персонала, планирование деятельности, обеспечение плановых показателей<br />Оперативное управление салоном<br />Личные продажи<br />Внутренняя отчетность в установленной форме</p> <p>Условия интересной работы в престижной мебельной компании:</p> <p>Заработную плату от 40 000 без ограничений.<br />Гарантию стабильности<br />Оплачиваемую стажировку<br />Официальное трудоустройство<br />Бесплатное обучение, опыт работы в дизайнерских программах и 1С<br />Повышение квалификации и тренинги для действующих сотрудников<br />Профессиональный и карьерный рост<br />Дружный и сплоченный коллектив</p>",Администрация,"Спортивные клубы, фитнес, салоны красоты",Полный день,От 3 до 6 лет
Руководитель отдела продаж,Бишкек,Х-Fit,80000,100000,KGS,"<strong>Обязанности:</strong> <ul> <li>Разработка стратегии по увеличению продаж;</li> <li>Обучение сотрудников и набор</li> <li>Планирование продаж и обеспечение успешного развития брендов;</li> <li>Управление продажами (перечень услуг, ценообразование,);</li> <li>Отвечать за результаты и предоставлять отчеты (объем продаж, рентабельность,);</li> <li>Систематизация работы отдела на основе описания и совершенствования всех рабочих процессов.</li> <li>Анализировать работу отдела и подготавливать предложения по её улучшению (автоматизация, оптимизация);</li> <li>Обеспечение выполнения плановых показателей продаж;</li> <li>Поддержание конкурентоспособности на рынке ;</li> </ul> <strong>Требования:</strong> <ul> <li>Лидерские качества</li> <li>Опыт на аналогичной должности не менее 3 лет</li> <li>Знание Битрикс24 и 1С</li> <li>Хорошие коммуникативные навыки</li> </ul> <strong>Условия:</strong> <ul> <li>График работы 5/2</li> <li>Удобные локации по городу</li> <li>Дружный коллектив</li> </ul>",Продажа финансовых продуктов,"Банки, инвестиции, лизинг",Полный день,От 3 до 6 лет
Продавец-консультант в спортивный магазин Gergert Sport,Бишкек,ADRENALINE SPORT,30000,,KGS,"<p>Спортивный магазин Gergert Sport приглашает в команду продавцов-консультантов</p> <p><strong>Что нужно делать:</strong><br />⁃ консультировать покупателей в выборе товаров<br />⁃ изучать продукт и быть экспертом в нем<br />⁃ следить за порядком и чистотой в отведённой части магазина</p> <p><strong>Мы ждем, что вы:</strong><br />⁃ имеете опыт в сфере розничной торговли<br />⁃ интересуетесь спортом<br />⁃ стремитесь зарабатывать и влиять на свой доход</p> <p><strong>Что мы вам даём:</strong><br />⁃ график работы 5/2 полный день<br />⁃ заработная плата от 30 000 сомов<br />⁃ работа в дружном коллективе</p> <p><strong>Будет преимуществом, если Вы:</strong><br />- имеете опыт в сфере розничной торговли спортивными товарами<br />- знаете техники продаж<br />- умеете работать с возражениями</p>",Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
Юрист,Бишкек,Лизинг Экспресс,40000,50000,KGS,"<p>Компания <strong>leasing.express</strong> занимается лизинговой и инвестиционной деятельностью. В данный момент мы расширяем штат, и ищем ответственного и внимательного юриста с опытом работы в банковской сфере, судебных делах и с опытом грамотной разработки документов.</p> <ul> <li><strong>Требования к квалификации, знания и навыки:</strong></li> </ul> <p>Мы ищем юриста, который:</p> <ul> <li>Умеет правильно, грамотно разрабатывать и вести внутренние и правовые документы компании (договоры, ходатайства).</li> <li>Умеет ориентироваться в законодательстве, мониторить изменения и применять их в отношении и интересах компании.</li> <li>Обладает навыком изучения договоров с контрагентами, вносить правки и предложения по ним.</li> <li>Умеет работать с кадрами компании (разработка и подписание трудовых договоров, заполнение штатного расписания и т.д.)</li> <li>Знает правовые основы заключения сделок купли-продажи автотранспортных средств, регистрации сделок в УНАА ,наложение обременения в виде залога на авто. Регистрация залога в ЦЗРК.</li> <li>Умеет работать с Word и Excel, Google таблицами и Google документами (предстоит заполнять договоры, работать с таблицами)</li> <li>Умеет грамотно и доходчиво излагать свои мысли.</li> <li>Может в совершенстве говорить и грамматически верно писать на Русском и Кыргызском языках.</li> <li>Умеет работать с текстом - находить изъяны в тексте, читать «между строк», писать без грамматических ошибок, знать правильную структуру составления и оформления документов.</li> <li>Умеет работать в офисе и на выезде.</li> <li>Обладает навыками доводить дело до конца, а не искать оправдания не выполненной работы.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Заключение сделок купли-продажи автотранспортных средств, регистрации сделок в УНАА, наложение обременения в виде залога на авто. Регистрация залога в ЦЗРК.</li> <li>Структурирование сделок лизинга, заключение договоров поручительства, залога к договору лизинга.</li> <li>Юридическое сопровождение деятельности компании - разработка документов, внесение правок в договоры, правильная архивация документов, проверка договоров на правильность подписания.</li> <li>Разработка и согласование договоров, соглашений, юридических заключений, доверенностей и т.д.</li> <li>Работа с партнерами и контрагентами компании - разработка документов, адаптация документов под интересы компании, подписание документов.</li> <li>Подписание документов и договоров, контроль их исполнения со стороны сотрудников или контрагентов компании.</li> </ul> <p><strong>Условия работы:</strong></p> <p>Молодой профессиональный коллектив.</p> <ul> <li>Оклад 40 000 - 50 000 сом.</li> <li>Дополнительные вознаграждения и бонусы по итогам выполненных задач.</li> <li>Комфортабельный офис в центре города.</li> <li>Официальное трудоустройство по ТК КР.</li> <li>Пятидневная рабочая неделя, с 10:00 до 19:00.</li> <li>Постоянное обучение как в профессиональном, так и в личностном плане.</li> <li>Возможность карьерного роста до руководителя юридического отдела.</li> <li>Регулярные совместные мероприятия и выездные корпоративы.</li> </ul>",Договорное право,Юристы,Полный день,От 3 до 6 лет
Младший системный администратор,Бишкек,Региональные платежные системы,25000,30000,KGS,"<p>NAMBA ONE - это первый Superapp в Центральной Азии с удобными сервисами - доставка продуктов, товаров и еды, услуги такси, маркетплейс, все платежные решения – оплата ЖКХ, всех государственных услуг, денежные переводы, оплата в заведениях и организациях страны, наличие всех программ лояльности и многое другое.</p> <p> </p> <p>Наша супер сила – наша команда. Над каждым проектом работает группа специалистов, которые анализируют, предлагают и принимают решения: product менеджеры, разработчики, project менеджеры, тестировщики, SMM-специалисты, маркетологи, аккаунт-менеджеры, таргетологи, и дизайнеры.</p> <p> </p> <p>В связи с расширением, наша компания Namba One в поиске МЛАДШЕГО СИСТЕМНОГО АДМИНИСТРАТОРА , который поможет нам в реализации наших целей и выполнении задач.</p> <p> </p> <p>С чем предстоит работать:</p> <p>• Техническая поддержка сотрудников компании;</p> <p>• Установка и обслуживание рабочих мест;</p> <p>• Замена расходных материалов и оргтехники;</p> <p>• Администрирование сервисов Microsoft – Active Directory;</p> <p>• Мониторинг систем;</p> <p>• Ведение технической документации;</p> <p> </p> <p>Мы будем рады рассмотреть вашу вакансию, если Вы:</p> <p>• Отличные знания операционных систем Windows и офисных продуктов Microsoft;</p> <p>• Знание Active Directory на уровне создания/изменения пользователей и групповых политик;</p> <p>• Базовые знания антивирусного ПО;</p> <p>• Умение быстро локализовать причину проблемы;</p> <p>• Хорошие навыки коммуникации;</p> <p>• Способность к документированию систем;</p> <p> </p> <p>Что мы можем вам предложить:</p> <ul> <li>Вы станете частью современной и динамично растущей компании</li> </ul> <p>• Официальное оформление, без задержки заработной платы</p> <p>• График работы 5/2, с 09:00 до 18:00;</p> <p>• Возможности профессионального и карьерного роста внутри Компании;</p> <p>• Дружный и молодой корпоратив</p> <p>• Современный офис в центре города</p> <p>• Обеды за счет компании</p>",Сетевые технологии,"Информационные технологии, интернет, телеком",Полный день,От 1 года до 3 лет
Диспетчер со знанием advanced English,Ош,RusLand (Холдинг Ulan Logistic LLC),300,400,USD,"<strong>Обязанности:</strong> <ul> <li>Требуется диспетчер по совместительству менеджер. Знание английского обязателен, можно без опыта работы. MS office,Internet, negotiation skills, business correspondence.</li> </ul> <strong>Требования:</strong> <ul> <li>Обязательно высылайте резюме с пометкой Диспетчер на почту.</li> </ul>",Автоперевозки,"Транспорт, логистика",Полный день,Нет опыта
Официант,Бишкек,ОсОО Винотека,10000,20000,KGS,"<strong>Обязанности:</strong> <ul> <li>Обслуживание клиентов</li> <li>Уборка бара</li> </ul> <strong>Требования:</strong> <ul> <li>Знание языков</li> </ul> <strong>Условия:</strong> <ul> <li>С 17ч до 01 ночи</li> <li>Развоз на такси</li> <li>Зарплата 2 раза в месяц без %, стабильный оклад</li> <li>Работа на долгий срок</li> </ul>","Начальный уровень, Мало опыта","Туризм, гостиницы, рестораны",Полный день,Нет опыта
Продавец-кассир,Бишкек,ОСОО Джелли,25000,50000,KGS,"<p>Салют!</p> <p>Ты еще не с нами? Тогда, читай это!</p> <p> </p> <p>Мы приглашаем позитивных и амбициозных продавцов в магазин розничной сети &quot;JELLY&quot; в городе Бишкек.</p> <p> </p> <p>Магазины с торговой маркой &quot; JELLY &quot; – это KFC в мире Кэнди Шопов! Наша цель - покорить весь мир нашими сладостями со всей планеты!</p> <p> </p> <p>&quot;JELLY&quot; сегодня – это уникальный стартап бутиков по продаже сладких уникальных лакомств с нереальной концепцией.</p> <p>&quot;JELLY&quot; завтра - это мировая сеть с самым известным именем!</p> <p> </p> <p>Более 450 сортов восхитительного Мармелада, нежнейшего Суфле, Карамели ручной работы и эксклюзивных Орехов, Ягод и Фруктов в шоколаде, вкуснейшие Жвачки с начинками, разноцветные Драже и тонны мягчайших Ирисок, Шоколад и Шоколадные пасты с разных стран мира, эксклюзивный упаковочный материал для сладостей ожидают гостей в наших магазинах!</p> <p> </p> <p>Обязанности:</p> <p> </p> <p>Обслуживание любимых гостей нашего магазина;</p> <p>Соблюдение стандартов сети по выкладке, обслуживанию покупателей;</p> <p>Работа со своими личными показателями эффективности;</p> <p>Личные продажи;</p> <p>Работа с кассой;</p> <p>Поддержание чистоты на рабочем месте.</p> <p> </p> <p>Если ты знаешь, чего хочешь от будущего - добро пожаловать в команду профессионалов!</p> <p>И да, будет не легко, но очень интересно и захватывающе. С нами Ты можешь обрести -</p> <p>полную самостоятельность, независимость и развитие личностного потенциала;</p> <p>Возможность быстрого карьерного роста в связи с активным развитием компании</p> <p> </p> <p>Требования:</p> <p>Опыт работы в прямых продажах приветствуется;</p> <p>Ответственный подход к работе;</p> <p>Умение работать в команде;</p> <p>Готовность полностью отдаваться работе;</p> <p>Порядочность и чистоплотность;</p> <p>Общительность и легкость коммуникаций;</p> <p>Умение быстро многому учиться и запоминать большой поток информации;</p> <p>Умение работать в режиме многозадачности;</p> <p>Высокая стрессоустойчивость.</p> <p>Условия:</p> <p> </p> <p>График работы 2/2, но переработки возможны.</p> <p>Официальное трудоустройство, белая зарплата 2 раза в месяц.</p>",Розничная торговля,Продажи,Сменный график,От 1 года до 3 лет
Менеджер по работе с маркетплейсами (Бишкек),Бишкек,Блин-Да-Гриф,40000,,RUR,"<p>Добрый день, уважаемый кандидат!<br /><br />Более 3 лет мы специализируемся на e-commerce в категориях &quot;Фитнес и тренажеры&quot;, &quot;Товары для дома и отдыха&quot;.<br />В связи с развитием нового направления - категории женская одежда, мы ищем в свою команду сильного, талантливого менеджера с пониманием процессов работы маркетплейсов.<br /><br />С РЕАЛЬНЫМ ОПЫТОМ!<br />Рассматриваю кандидатов с логическим мышлением и любовью к цифрам и показателям.<br /><br /><strong>Обязанности:</strong><br />- Анализ конкурентов, ключевых запросов<br />- Ежедневное заполнение статистики и отслеживание её в Excel.<br />- Контроль отчетности, сбор статистики и внесение ее в Google docs.<br />- Заполнение (описание и характеристики) карточек товара<br />- SEO оптимизация карточек<br />- Создание отгрузок<br />- Назначение фотосессий, постановка задач складу и т.п.<br />- Поиск исполнителей на сайта фриланса для типовых задач и контроль выполнения<br />- Подготовка ТЗ и контроль подрядчиков по фото и видео контенту, дизайну и инфографике, рекламе и т.д.<br />- Запуск и контроль эффективности рекламных кампаний<br />- Контроль и корректировка цен для участия в акциях<br />- Взаимодействие с покупателями - ответы на вопросы/отзывы, возвраты<br /><br /><strong>Требования: </strong></p> <ul> <li>Самостоятельность и проактивность: идеально, если вас не нужно будет контролировать и вы сможете самостоятельно выполнять свои задачи. Дополнительный плюс, если у вас будут свои идеи, за которые сможете брать ответственность и реализовывать их</li> <li>Аналитическое и системное мышление: в данной работе будет много аналитики по товарам и продажам. Круто, если есть знание Excel и Google Sheets на уровне 9+ из 10.</li> <li>Быстрая обучаемость: ниша Маркетплейсов бурно развивается и постоянно появляется много информации, которую нужно быстро усваивать и применять на практике.</li> <li>Грамотная устная и письменная речь</li> <li>Знание основ интернет-маркетинга</li> <li>Развитое чувство прекрасного</li> </ul> <p><strong>Что мы можем предложить:</strong></p> <ul> <li>Полное погружение в активно-развивающуюся сферу маркетплейсов в команде единомышленников, которые постоянно развиваются.</li> <li>Своевременную заработную плату - первый месяц 30 тыс. сом., второй месяц 35 тыс. сом., % от достигнутого результата.</li> <li>График работы: 6/1 с ПН-СБ</li> <li>Быть готовым в непредвиденной ситуации : переделать поставку, подготовится к акции и тд в выходные дни решить задачу.</li> </ul> <p>Кому точно не к нам:<br />- в работе ты нацелен на выполнение минимальных требований, а не результат<br />- ты хочешь подработать и ищешь работу на 2-3 месяца<br />- ты планируешь совмещать 2 работы<br /><br />Если вакансия вам подходит, тогда ваша следующая задача - откликнуться со словом “Результат” и мы вышлем анкету, чтобы познакомиться поближе и определиться с дальнейшими шагами. Успехов!</p>",Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
Ресепшен,Бишкек,ОсОО Универсал коз,24000,24000,KGS,"<strong>Обязанности:</strong> <ul> <li>Регистрировать пациентов</li> <li>Вести запись пациентов</li> <li>Отвечать на телефонные звонки</li> </ul> <strong>Требования:</strong> <ul> <li>Не опаздывать с 8:45-17:30,в сб до 14:00</li> <li>Белая рубашка или блузка</li> <li>Четкая дикция</li> <li>Вежливость</li> <li>Сразу звонить или писать на вотсап( и отправляйте резюме сразу) </li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Обед комплексный</li> </ul> <p> </p>",Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
Офис-менеджер,Бишкек,ОсОО Техно Премьер,20000,40000,KGS,"<p>Мы - компания «<strong>Техно Премьер</strong>», уже <strong>15 лет успешно работаем</strong> в области поставок и сервисного обслуживания дорожно-строительной и горной техники.</p> <p>Наши клиенты возвращаются к нам снова и снова, они ценят нас <strong>за нашу надежность</strong>, наш сервис и <strong>индивидуальные решения</strong> для каждого.</p> <p>Мы расширяемся и готовы взять в свою команду <strong>Офис менеджера.</strong></p>",Управляющий офисом (Оffice manager),Административный персонал,Полный день,Нет опыта
Риелтор,Бишкек,ОсОО Агентство недвижимости №1,500,5000,USD,"Обязанности: <ul> <li> <p>НАШ ОПЫТ, ВАША ВЫГОДА $$$</p> <p>Агентство недвижимости №1<br />• Квалифицированные специалисты<br />• Выгодные условия<br />• Эффективные методы<br />• Качество услуг</p> <p>Мы не работаем с недвижимостью, мы работаем с ЛЮДЬМИ!</p> <p>И этот девиз работает не только на бумаге — мы воплощаем его в жизнь!</p> <p>Агентство Недвижимости №1<br />Приглашает сотрудников от 18 до 30 лет.<br />Приветствуются с опытом и без опыта<br />Форма оплаты сдельная 50%50</p> <p>Если ты Позитивен и готов Развиваться и Расти вместе с Нами — то Мы приглашаем Тебя в Нашу команду!</p> </li> <li>Желание продавать и зарабатывать</li> <li>Уверенные в себе (никогда не сдаваться)</li> <li>Смелые но не наглые</li> <li>Позитивные (следующие за радостью)</li> <li>Благодарные за то, что есть, но желающие заработать миллионы</li> <li> <p>ПРОСИМ не беспокоить всезнающих, обидчивых, виноватых что родились, трусливых, вечно ноющих и жалующихся</p> </li> <li>Работа в современном офисе;</li> <li>Офис находится в центре города Бишкек;</li> <li>Дружелюбный коллектив;</li> <li>Адекватная оценка Ваших способностей.</li> <li> <p>Риелтор — это специалист по сделкам с недвижимостью. Он помогает клиентам купить, продать, сдать в аренду или снять жилье и другие помещения. Чтобы успешно выполнять свои обязанности, риелтор должен не только хорошо разбираться в жилищном, земельном и гражданском законодательстве КР, но и уметь легко общаться и устанавливать деловые связи.</p> </li> </ul>",Кредиты,"Банки, инвестиции, лизинг",Полный день,Нет опыта
Операционист-бухгалтер,Бишкек,ДанТрэйд Азия,25000,,KGS,"<strong>Обязанности:</strong> <ul> <li>выполнение операций с базами данных (ввод данных, обработка, систематизация);</li> <li>обработка информации: сообщений электронной почты, заявок, накладных, счетов и прочих документов;</li> <li>оформление актов списания, актов инвентаризации, возвратных накладных; Документооборот;</li> <li>Подготовка документации для отгрузки продукции клиенту;</li> <li>Сверка с контрагентами, взаимодействие с внутренними подразделениями компании;</li> </ul> <strong>Требования:</strong> <ul> <li>опыт работы в программе 1С обязателен, опыт работы в учете товарооборота, отличные навыки работы в MS Office: Excel, Word.</li> </ul> <strong>Условия:</strong> <ul> <li>Рабочий день с 9:00 до 18:00 понедельник- пятница, 2 субботы в месяц рабочие; Выделение рабочего места со всем необходимым оборудованием;</li> <li>Заработная плата: от 25 000 сом (в зависимости от опыта работы и навыков);</li> <li>Возможность профессионального развития и карьерного роста</li> </ul> <p> </p>",Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 1 года до 3 лет
Продавец-консультант,Бишкек,Инглот Кейджи,20000,40000,KGS,<strong>Обязанности:</strong> <ul> <li>Консультация клиентов по подбору косметики &quot;Inglot&quot;</li> <li>Прямая продажа косметики в ТЦ &quot;Гум&quot; и Бишкек Парк</li> <li>Ведение отчетности</li> <li>Поддержание чистоты и порядка в бутиках</li> <li>Участие в собраниях и т.д</li> </ul> <strong>Требования:</strong> <ul> <li>Ответственность</li> <li>Пунктуальность</li> <li>Желание расти и развиваться</li> <li>Коммуникабельность</li> </ul> <strong>Условия:</strong> <ul> <li>График работы 3/1 сменами: с 10-00 до 18-00 ; с 14-00 - до 22-00</li> <li>Работа в дружном коллективе</li> <li>Удобное месторасположение работы в ТЦ</li> <li>Возможность карьерного роста</li> <li>Не ограниченный доход</li> </ul>,Розничная торговля,Продажи,Полный день,От 1 года до 3 лет
Регистратор-кассир медицинского центра,Бишкек,Human,20000,25000,KGS,"<strong>Обязанности:</strong> <ul> <li>Ведение кассовых операций в специализированном Программном обеспечении, на кассовых аппаратах и POS-терминалах, составление кассовых отчетов</li> <li>Регистрация пациентов и прием оплаты за прием к врачам, на процедуры и на сдачу анализов, ввод данных пациента в его электронную карту</li> </ul> <p><strong>Требования:</strong></p> -<strong> </strong>образование: средне-специальное и выше <p>- опыт работы в сфере обслуживания клиентов не менее 2-х лет, а на должности регистратора-кассира в медицинском учреждении или лаборатории крайне предпочтителен</p> <p>- свободное владение русским и кыргызским языками - обязательно, английский и турецкий - приветствуются</p> <p>- уверенный пользователь ПК и оргтехники</p> <p>- опыт работы на кассе (с кассовым аппаратом и POS-терминалами) крайне предпочтителен</p> <p>Личностные качества: порядочность, внимательность, пунктуальность, стрессоустойчивость, умение выполнять несколько дел одновременно и быстро справляться с поставленным задачами, доброжелательность, умение работать с клиентами и в команде, коммуникабельность, ответственность.</p> <strong>Условия:</strong> <p>Работа в большом дружном коллективе, в современных условиях медицинской клиники</p> <p>График работы: Пн.- пт.: с 8:00 до 18:00, сб.: с 8:00 до 14:00 (гибкий график по окончании стажировки)</p> <p>Оплачиваемая стажировка и испытательный срок: 2-3 месяца.</p> <p>Оплата труда: от 20000 сом в месяц, в зависимости от квалификации и быстроты обучаемости кандидата</p>",Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 1 года до 3 лет
Помощник воспитателя в частный детский сад,Бишкек,Саран Глобал,18000,18000,KGS,"<p> </p> <p><strong>Требования:</strong></p> <p>Опыт работы приветствуется.</p> <p>Важные качества: доброжелательность, внимательность, желание расти профессионально.</p> <p><strong>Условия:</strong></p> <p>Время работы с 8.00 до 18.00.</p> <p>Зарплата после испытательного срока.</p> <p>Адрес: 3 микрорайон дом 19 А УОЦ &quot;Саран Глобал&quot;.</p> <p> </p> <p> </p> <p> </p>","Воспитатель, Гувернантка/гувернёр, Няня",Домашний персонал,Полный день,Нет опыта
Кладовщик-оператор,Бишкек,Forester,30000,30000,KGS,"<p> </p> <p>Компания «Forester» приглашает к сотрудничеству специалистов на должность Кладовщик-операционист</p> <p>Обязанности:</p> <p>• Участвует в работах по приему, хранению, комплектации и отпуску товарно-материальных ценностей на складах, по их размещению с учетом наиболее рационального использования складских площадей, облегчения и ускорения поиска и отпуска;</p> <p>• Обеспечивает сохранность складируемых товарно-материальных ценностей, соблюдение режимов хранения, ведение учета складских операций;</p> <p>• Осуществляет пересчёт товара, возвращенного от клиентов на предмет соответствия принятого количества и наименований, указанным в накладной;</p> <p>• Осматривает возвращенный товар и подготавливает его, в случае необходимости, к выбраковке;</p> <p>• Своевременно ведет работу с бракованным товаром;</p> <p>• Ведет учет поступивших на склад накладных согласно реестру и учет собранных накладных;</p> <p>• Участвует в инвентаризациях;</p> <p>• Своевременно, совместно с грузчиками, производит уборку складских помещений;</p> <p>• Соблюдает требования правил техники безопасности, охраны здоровья и окружающей среды;</p> <p>• Действует согласно принятых в Компании стандартов, правил, инструкции и бизнес-процедур;</p> <p>Условия работы:</p> <p>График работы обсуждается на собеседовании<br />Оформление согласно законодательству КР, полный соц. пакет</p> <p> </p>",Складское хозяйство,"Транспорт, логистика",Полный день,От 1 года до 3 лет
Диспетчер интернет-магазина,Бишкек,Телепилот.ру,25000,,KGS,"<p>Обязанности:</p> <ul> <li>консультирование клиентов международной сети магазинов &quot;Детский мир&quot; в виде текстовых заявок и голосовом формате;</li> </ul> <strong>Требования:</strong> <ul> <li>Грамотность, доброжелательность и умение общаться с людьми (если нет, то научим);</li> <li>Стрессоустойчивость, эмпатия</li> </ul> <strong>Условия:</strong> <ul> <li>Сменный график 2/2 или 5/2;</li> <li>Бесплатное для вас обучение 10 дней;</li> <li>Если успешно справитесь с обучением и проработаете у нас месяц, мы заплатим вам дополнительно к зарплате 1500р</li> <li>Заработная плата почасовая;</li> <li>Удаленный формат работы через 1 месяц при положительных результатах ;</li> </ul>",Ввод данных,Административный персонал,Полный день,Нет опыта
Бухгалтер (Оператор 1С),Бишкек,Design 2 Business (ИП Кудайбергенова Э.А.),25000,30000,KGS,"<p>В сильную команду в быстроразвивающуюся компанию требуется Бухгалтер (Оператор 1С, работающий при главном бухгалтере).</p> <p>Работодатель - крупная сеть магазинов сантехники, офис находится в Бизнес-центре.<br />Хотите быть частью интересной и дружной команды, дайте нам знать!</p> <p><em><strong>Требования</strong></em>:</p> <p>1. Хороший опыт работы с 1С<br />2. Быстрая обучаемость<br />3. Отличные навыки с программами MS Office (Excel)</p> <p>Знания законодательства (НК КР и ТК КР) является большим преимуществом.</p> <p><em><strong>Основные функциональные обязанности:</strong></em><br />- ведение 1С<br />- занесение склада<br />- подсчет ЗП<br />- налоговая отчетность и др.</p> <p>График 5/2, с 9.00 до 18.00<br />Теплый уютный офис и отличные коллеги</p> <p> </p> <p> </p>",Бухгалтер,"Бухгалтерия, управленческий учет, финансы предприятия",Полный день,От 1 года до 3 лет
